COUNTY,COUNTY_NAME,CTY_GEO_ID,SUBCOUNTY_NAME,SUBCTY_GEO_ID,DISTRICT,PRECINCT_CODE,PRECINCT_NAME,ACTIVE_VOTER_COUNT,CHURCH,POLLING_PLACE,Address
ALCORN,"Alcorn County, Mississippi",0500000US28003,,,0,2JAC,JACINTO,508,False,JACINTO SENIOR CITIZEN CENTER,4 CR 375 RIENZI MS 38865
ALCORN,"Alcorn County, Mississippi",0500000US28003,,,0,2KOS,KOSSUTH,2183,False,L. C. FOLLIN BLUE BUILDING,7 CR 604 KOSSUTH MS 38834
ALCORN,"Alcorn County, Mississippi",0500000US28003,,,0,2NC,NORTH CORINTH,1484,True,NORTH CORINTH BAPTIST CHURCH FELLOWSHIP HALL,3311 NORTH POLK STREET CORINTH MS 38834
ALCORN,"Alcorn County, Mississippi",0500000US28003,,,0,2PC,PINECREST,748,True,PINECREST BAPTIST CHURCH FELLOWSHIP HALL,313 PINECREST ROAD CORINTH MS 38834
ALCORN,"Alcorn County, Mississippi",0500000US28003,,,0,2RIE,RIENZI,1452,False,RIENZI FIRE STATION,71 S FRONT ST RIENZI MS 38865
ALCORN,"Alcorn County, Mississippi",0500000US28003,,,0,2SCO,SOUTH CORINTH,1949,False,JOHN ST COMMUNITY CENTER,1102 S JOHN ST CORINTH MS 38834
ALCORN,"Alcorn County, Mississippi",0500000US28003,,,0,2SG,SHADY GROVE,1266,False,NORTH STATION FIRE & RESCUE,911 HIGHWAY 45 CORINTH MS 38834
ALCORN,"Alcorn County, Mississippi",0500000US28003,,,0,2UC,UNION CENTER,1557,False,OLD UNION CENTER SCHOOL BLDG,3 CR 643 WALNUT MS 38683
ALCORN,"Alcorn County, Mississippi",0500000US28003,,,0,2WC,WEST CORINTH,1071,False,BISHOP CENTER,1300 WASHINGTON ST CORINTH MS 38834
ALCORN,"Alcorn County, Mississippi",0500000US28003,,,0,2WEN,WENASOGA,1303,False,V. F. W.,1 PURDY SCHOOL RD CORINTH MS 38834
AMITE,"Amite County, Mississippi",0500000US28005,"District 1, Amite County, Mississippi",0600000US2800590027,1,111,LIBERTY,675,False,LIBERTY/HWY. 567,4354 MS HWY 567 LIBERTY MS 39645
AMITE,"Amite County, Mississippi",0500000US28005,"District 1, Amite County, Mississippi",0600000US2800590027,1,112,NEW ZION,431,False,NEW ZION/SMITHDALE F.D.,5466 FENN RD SMITHDALE MS 39664
AMITE,"Amite County, Mississippi",0500000US28005,"District 1, Amite County, Mississippi",0600000US2800590027,1,113,ZION HILL,468,False,ZION HILL/HWY. 567/COLE RD.,6075 MS HWY 567 LIBERTY MS 39645
AMITE,"Amite County, Mississippi",0500000US28005,"District 1, Amite County, Mississippi",0600000US2800590027,1,114,VANCE PARK,202,False,VANCE PARK,4124 MS HWY 24 WEST LIBERTY MS 39645
AMITE,"Amite County, Mississippi",0500000US28005,"District 2, Amite County, Mississippi",0600000US2800590765,2,210,AMITE RIVER,318,False,AMITE RIVER/LIB. ELEMENTARY,3457B S GREENSBURG RD LIBERTY MS 39645
AMITE,"Amite County, Mississippi",0500000US28005,"District 2, Amite County, Mississippi",0600000US2800590765,2,211,ARIEL,437,False,ARIEL VOLUNTEER FIRE DEPT. BLDG.,4250 KAHNVILLE RD GLOSTER MS 39638
